pi_number,P,I,data_type
PI002413,0.1899,3.2158,photoinhibition
PI002413,0.0928,1.481,photoinhibition
PI002413,0.127,1.6079,photoinhibition
PI002413,0.0639,1.0578,photoinhibition
PI002413,0.0738,1.0155,photoinhibition
PI002413,0.0508,0.5924,photoinhibition
PI002413,0.0423,0.5924,photoinhibition
PI002413,0.0385,0.4231,photoinhibition
PI002413,0.0338,0.3808,photoinhibition
PI002413,0.0167,0.2116,photoinhibition
PI002413,0.0136,0.2539,photoinhibition
PI002413,0.0153,0.1693,photoinhibition
PI002413,0.011,0.1693,photoinhibition
PI002413,0.0144,0.1269,photoinhibition
PI002413,0.0187,0.1269,photoinhibition
PI002413,0.0193,0.0846,photoinhibition
PI002413,0.0123,0.0846,photoinhibition
PI002413,1.2617,571.2255,photoinhibition
PI002413,1.487,533.1438,photoinhibition
PI002413,1.7218,401.9735,photoinhibition
PI002413,1.7164,368.1231,photoinhibition
PI002413,1.8575,205.2181,photoinhibition
PI002413,1.7988,237.7991,photoinhibition
PI002413,1.7819,126.939,photoinhibition
PI002413,2.0488,117.6301,photoinhibition
PI002413,1.728,69.3933,photoinhibition
PI002413,1.7958,66.4314,photoinhibition
PI002413,1.5436,41.0436,photoinhibition
PI002413,1.5358,39.8588,photoinhibition
PI002413,1.2381,22.6798,photoinhibition
PI002413,1.2224,20.6911,photoinhibition
PI002413,0.8175,15.3173,photoinhibition
PI002413,0.8341,14.3018,photoinhibition
PI002413,0.4489,9.0973,photoinhibition
PI002413,0.4955,7.6163,photoinhibition
PI002413,0.2991,5.4161,photoinhibition
PI002413,0.3409,5.0776,photoinhibition
PI002413,0.2157,3.5543,photoinhibition
PI002413,0.2048,3.2158,photoinhibition
PI002788,0.0885,1193,photoinhibition
PI002788,0.1519,1062,photoinhibition
PI002788,0.2487,1058,photoinhibition
PI002788,0.183,977,photoinhibition
PI002788,0.2137,880,photoinhibition
PI002788,0.3109,876,photoinhibition
PI002788,0.2313,825,photoinhibition
PI002788,0.4371,804,photoinhibition
PI002788,0.4745,647,photoinhibition
PI002788,0.4956,618,photoinhibition
PI002788,1.0137,537,photoinhibition
PI002788,1.0867,533,photoinhibition
PI002788,1.0557,495,photoinhibition
PI002788,1.0777,423,photoinhibition
PI002788,1.3511,381,photoinhibition
PI002788,1.3934,377,photoinhibition
PI002788,1.2606,339,photoinhibition
PI002788,1.3934,294,photoinhibition
PI002788,1.2952,255,photoinhibition
PI002788,1.2536,241,photoinhibition
PI002788,1.5263,210,photoinhibition
PI002788,1.2269,184,photoinhibition
PI002788,1.3522,163,photoinhibition
PI002788,1.404,157,photoinhibition
PI002788,1.2454,136,photoinhibition
PI002788,1.3762,131,photoinhibition
PI002788,1.3924,127,photoinhibition
PI002788,1.4558,123,photoinhibition
PI002788,1.5173,88,photoinhibition
PI002788,1.2935,88,photoinhibition
PI002788,1.2522,88,photoinhibition
PI002788,1.3952,83,photoinhibition
PI002788,1.2678,68,photoinhibition
PI002788,1.2762,67,photoinhibition
PI002788,1.3271,61,photoinhibition
PI002788,1.5194,60,photoinhibition
PI002788,1.2142,51,photoinhibition
PI002788,1.1846,49,photoinhibition
PI002788,0.9516,49,photoinhibition
PI002788,1.2668,44,photoinhibition
PI002788,1.0466,37,photoinhibition
PI002788,1.007,37,photoinhibition
PI002788,0.9403,36,photoinhibition
PI002788,1.0294,35,photoinhibition
PI002788,0.6466,22,photoinhibition
PI002788,0.6955,22,photoinhibition
PI002788,0.5059,16,photoinhibition
PI002788,0.4897,16,photoinhibition
PI002788,0.3527,11,photoinhibition
PI002788,0.3674,11,photoinhibition
PI002788,0.279,8,photoinhibition
PI002788,0.2467,8,photoinhibition
PI002788,0.1247,4,photoinhibition
PI002788,0.1152,4,photoinhibition
PI002788,0.0682,3,photoinhibition
PI002788,0.0638,3,photoinhibition
PI002788,0.0162,2,photoinhibition
PI002788,0.032,2,photoinhibition
PI002788,0.0488,2,photoinhibition
PI002788,0.0195,2,photoinhibition
PI002794,0.1583,1206,photoinhibition
PI002794,0.1448,1172,photoinhibition
PI002794,0.1359,1003,photoinhibition
PI002794,0.203,961,photoinhibition
PI002794,0.2138,889,photoinhibition
PI002794,0.2824,791,photoinhibition
PI002794,0.2015,791,photoinhibition
PI002794,0.2707,690,photoinhibition
PI002794,0.448,614,photoinhibition
PI002794,0.5764,592,photoinhibition
PI002794,0.3625,592,photoinhibition
PI002794,0.9022,542,photoinhibition
PI002794,0.8046,508,photoinhibition
PI002794,1.2471,453,photoinhibition
PI002794,1.1774,415,photoinhibition
PI002794,1.4702,343,photoinhibition
PI002794,1.2066,313,photoinhibition
PI002794,1.6275,294,photoinhibition
PI002794,1.5644,262,photoinhibition
PI002794,1.6748,248,photoinhibition
PI002794,1.4731,214,photoinhibition
PI002794,1.5793,203,photoinhibition
PI002794,1.7463,178,photoinhibition
PI002794,1.4449,171,photoinhibition
PI002794,1.5731,135,photoinhibition
PI002794,1.5986,125,photoinhibition
PI002794,1.6252,121,photoinhibition
PI002794,1.5007,121,photoinhibition
PI002794,1.6039,99,photoinhibition
PI002794,1.4052,95,photoinhibition
PI002794,1.4738,94,photoinhibition
PI002794,1.4538,93,photoinhibition
PI002794,1.6579,73,photoinhibition
PI002794,1.5099,70,photoinhibition
PI002794,1.5311,68,photoinhibition
PI002794,1.4951,62,photoinhibition
PI002794,1.3804,57,photoinhibition
PI002794,1.1831,47,photoinhibition
PI002794,1.3644,47,photoinhibition
PI002794,1.3213,46,photoinhibition
PI002794,1.3083,40,photoinhibition
PI002794,1.1168,35,photoinhibition
PI002794,1.2779,35,photoinhibition
PI002794,1.1037,34,photoinhibition
PI002794,0.7455,22,photoinhibition
PI002794,0.7325,22,photoinhibition
PI002794,0.5245,16,photoinhibition
PI002794,0.5272,15,photoinhibition
PI002794,0.3204,13,photoinhibition
PI002794,0.3304,11,photoinhibition
PI002794,0.2167,8,photoinhibition
PI002794,0.2435,8,photoinhibition
PI002794,0.1285,5,photoinhibition
PI002794,0.1291,5,photoinhibition
PI002794,0.0585,4,photoinhibition
PI002794,0.0727,3,photoinhibition
PI002794,0.0315,3,photoinhibition
PI002794,0.0302,2,photoinhibition
PI002794,0.0402,2,photoinhibition
PI002794,0.0555,2,photoinhibition
